"design_id","trials","rate","sigma_y","ordering","ratio","R2","R2_ci_lower","R2_ci_upper","pearson_r","spearman_rho","RMSE","relative_RMSE","MAE","bias","n_valid","convergence_rate"
1,10,0.2,5,"random","1:1",0.452492066659726,0.337519640202044,0.573682862950739,0.672675305522453,NA,NA,NA,NA,NA,100,1
2,20,0.2,5,"random","1:1",0.808294889270997,0.676835868849808,0.863167300279866,0.899052217210434,NA,NA,NA,NA,NA,100,1
3,30,0.2,5,"random","1:1",0.865516378475029,0.768235978193066,0.922188136926434,0.930331327256601,NA,NA,NA,NA,NA,100,1
4,40,0.2,5,"random","1:1",0.915850248669154,0.831678183365885,0.964487850827209,0.957000652387005,NA,NA,NA,NA,NA,100,1
5,60,0.2,5,"random","1:1",0.945682963792157,0.897175692639673,0.965729306275056,0.972462319985796,NA,NA,NA,NA,NA,100,1
6,70,0.2,5,"random","1:1",0.946450446456257,0.894057476204824,0.977015647657072,0.972856847874474,NA,NA,NA,NA,NA,100,1
7,80,0.2,5,"random","1:1",0.963548149214835,0.937982393180557,0.983623816255746,0.981604884469731,NA,NA,NA,NA,NA,100,1
8,10,0.3,5,"random","1:1",0.595946236934894,0.480327975566071,0.737385082635446,0.771975541668837,NA,NA,NA,NA,NA,100,1
9,20,0.3,5,"random","1:1",0.857511882840272,0.753192382008673,0.92520237244807,0.926019374981038,NA,NA,NA,NA,NA,100,1
10,30,0.3,5,"random","1:1",0.906774652653771,0.835921325753091,0.944009713216952,0.952247159435916,NA,NA,NA,NA,NA,100,1
11,40,0.3,5,"random","1:1",0.945822580517959,0.856954244830978,0.97274249382844,0.972534102496133,NA,NA,NA,NA,NA,100,1
12,60,0.3,5,"random","1:1",0.955204347393965,0.897915196458118,0.977749076008619,0.977345561914498,NA,NA,NA,NA,NA,100,1
13,70,0.3,5,"random","1:1",0.972385507070683,0.956551805352834,0.981267449416539,0.986096094237617,NA,NA,NA,NA,NA,100,1
14,80,0.3,5,"random","1:1",0.974417902045793,0.941795303495499,0.98244010736916,0.987126082142394,NA,NA,NA,NA,NA,100,1
15,10,0.4,5,"random","1:1",0.593874554883799,0.474479944697506,0.666755846316314,0.770632568013966,NA,NA,NA,NA,NA,100,1
16,20,0.4,5,"random","1:1",0.898026807967441,0.826396800583455,0.933873042054083,0.947642763897578,NA,NA,NA,NA,NA,100,1
17,30,0.4,5,"random","1:1",0.94142357990545,0.910231359159666,0.958638549970249,0.970269849013897,NA,NA,NA,NA,NA,100,1
18,40,0.4,5,"random","1:1",0.956227943360543,0.918810616335537,0.968836817259367,0.977869082935207,NA,NA,NA,NA,NA,100,1
19,60,0.4,5,"random","1:1",0.965397920692796,0.936933610634249,0.984870207801318,0.982546650644536,NA,NA,NA,NA,NA,100,1
20,70,0.4,5,"random","1:1",0.964469332950996,0.865355534429562,0.981872355940971,0.982073995659693,NA,NA,NA,NA,NA,100,1
21,80,0.4,5,"random","1:1",0.981714412629719,0.972954875315699,0.987574674204753,0.990815024426719,NA,NA,NA,NA,NA,100,1
22,10,0.55,5,"random","1:1",0.638229945550613,0.534802499583515,0.72078288195922,0.798892949994311,NA,NA,NA,NA,NA,100,1
23,20,0.55,5,"random","1:1",0.896622483966056,0.824566009224014,0.933598466389132,0.946901517564555,NA,NA,NA,NA,NA,100,1
24,30,0.55,5,"random","1:1",0.921791137656776,0.846143867784802,0.956378164904697,0.960099545701786,NA,NA,NA,NA,NA,100,1
25,40,0.55,5,"random","1:1",0.960781968871522,0.896235056297448,0.980458233896819,0.980194862704106,NA,NA,NA,NA,NA,100,1
26,60,0.55,5,"random","1:1",0.973750405983366,0.959837491787371,0.98251456527989,0.986787923509082,NA,NA,NA,NA,NA,100,1
27,70,0.55,5,"random","1:1",0.980827197273486,0.974146582456322,0.98648615059853,0.990367203250131,NA,NA,NA,NA,NA,100,1
28,80,0.55,5,"random","1:1",0.967923624916848,0.89391201548903,0.990234806599506,0.983831095725708,NA,NA,NA,NA,NA,100,1
29,10,0.7,5,"random","1:1",0.606110395454571,0.425932087957738,0.742176830499752,0.778530921322057,NA,NA,NA,NA,NA,100,1
30,20,0.7,5,"random","1:1",0.899595347822922,0.873768780427163,0.930573836789516,0.948470003649521,NA,NA,NA,NA,NA,100,1
31,30,0.7,5,"random","1:1",0.936214331604467,0.865613000685103,0.965632953489027,0.967581692470701,NA,NA,NA,NA,NA,100,1
32,40,0.7,5,"random","1:1",0.960483892257084,0.950282394768625,0.975225364570589,0.980042801237315,NA,NA,NA,NA,NA,100,1
33,60,0.7,5,"random","1:1",0.969794128084887,0.954225892043722,0.978287919444,0.984781259003687,NA,NA,NA,NA,NA,100,1
34,70,0.7,5,"random","1:1",0.975017865665342,0.95685268004631,0.985229445685202,0.987429929496439,NA,NA,NA,NA,NA,100,1
35,80,0.7,5,"random","1:1",0.973385639070847,0.962321743976934,0.980503494145347,0.98660308081358,NA,NA,NA,NA,NA,100,1
36,10,0.85,5,"random","1:1",0.628554137314865,0.491269840842153,0.76463054478498,0.792814062258525,NA,NA,NA,NA,NA,100,1
37,20,0.85,5,"random","1:1",0.899823154800216,0.860468918680474,0.941929876817311,0.948590087867365,NA,NA,NA,NA,NA,100,1
38,30,0.85,5,"random","1:1",0.935724589039214,0.911608887025534,0.959427411493245,0.967328583801396,NA,NA,NA,NA,NA,100,1
39,40,0.85,5,"random","1:1",0.952000003931755,0.938258707270902,0.971214474634295,0.975704875426865,NA,NA,NA,NA,NA,100,1
40,60,0.85,5,"random","1:1",0.961445799333199,0.951191842334701,0.973643458952103,0.980533425913262,NA,NA,NA,NA,NA,100,1
41,70,0.85,5,"random","1:1",0.961469200539241,0.944022178909134,0.974592457495039,0.98054535873627,NA,NA,NA,NA,NA,100,1
42,80,0.85,5,"random","1:1",0.964137063413342,0.940171302504479,0.980858379509115,0.981904813825323,NA,NA,NA,NA,NA,100,1
43,10,1,5,"random","1:1",0.472042913964513,0.429849975045283,0.537378417408608,0.687053792627996,NA,NA,NA,NA,NA,100,1
44,20,1,5,"random","1:1",0.69171643726303,0.580610256592701,0.799181309687231,0.831694918382354,NA,NA,NA,NA,NA,100,1
45,30,1,5,"random","1:1",0.701985652707978,0.583048093524082,0.809412133375873,0.83784584065804,NA,NA,NA,NA,NA,100,1
46,40,1,5,"random","1:1",0.747444408789694,0.620470753516581,0.843569614178596,0.86454867346477,NA,NA,NA,NA,NA,100,1
47,60,1,5,"random","1:1",0.76295528449816,0.671147399304252,0.828954354995099,0.873473116070644,NA,NA,NA,NA,NA,100,1
48,70,1,5,"random","1:1",0.752350975491407,0.690731449284116,0.821213003896184,0.867381678092988,NA,NA,NA,NA,NA,100,1
49,80,1,5,"random","1:1",0.764722456543715,0.688626709662062,0.83948254403719,0.874484108799991,NA,NA,NA,NA,NA,100,1
