"condition","n_trials","manipulation","metric","mean_r","median_r","sd_r","ci_lower","ci_upper","n_bootstrap"
"20trials_random_sequences",20,"random_sequences","alpha_test_retest",0.977303358208225,0.977529981260294,0.00354604947097111,0.969234654182532,0.98291896878404,200
"20trials_random_sequences",20,"random_sequences","alpha_free_trt",0.952811434898851,0.954203795847902,0.00770989975868003,0.934234587131079,0.964852710826584,200
"20trials_random_sequences",20,"random_sequences","alpha_recovery",0.994830414318136,0.994887883934771,0.000814109019953487,0.992899861371161,0.996151338742052,200
"20trials_random_sequences",20,"random_sequences","slope",0.219811227972425,0.222356580819426,0.0664783701300129,0.099282250042243,0.339338078300244,200
"20trials_random_sequences",20,"random_sequences","delta_first_last",0.119727324264814,0.122716421287679,0.0857782203709204,-0.029406796813768,0.304678622573856,200
"20trials_random_sequences",20,"random_sequences","last_trial",0.131732124892224,0.130419306835785,0.0868494657619638,-0.016680620115621,0.311407409975762,200
"20trials_early_vs_late",20,"early_vs_late","alpha_test_retest",0.951264508451053,0.951682393595018,0.00711251464614886,0.93693606547001,0.962404244662763,200
"20trials_early_vs_late",20,"early_vs_late","alpha_free_trt",0.87965451900397,0.880805445272252,0.0168134707606368,0.844836029152809,0.909962948250589,200
"20trials_early_vs_late",20,"early_vs_late","alpha_recovery",0.992081980150597,0.992086874452604,0.00117046248370672,0.98943177534902,0.99431314833451,200
"20trials_early_vs_late",20,"early_vs_late","slope",-0.0365690682342755,-0.0360516873196284,0.0100246391971695,-0.0555538204430377,-0.019400332813685,200
"20trials_early_vs_late",20,"early_vs_late","delta_first_last",-0.0471805312521738,-0.0468265602166689,0.0192797402210358,-0.0811385436182104,-0.0121403490482349,200
"20trials_early_vs_late",20,"early_vs_late","last_trial",-0.049150306861418,-0.0492781048398569,0.0153715308511845,-0.079043219506237,-0.0203160532238381,200
"20trials_clustered_vs_scattered",20,"clustered_vs_scattered","alpha_test_retest",0.979456582759137,0.97956148770661,0.00305738209798574,0.97330329455071,0.985373303380613,200
"20trials_clustered_vs_scattered",20,"clustered_vs_scattered","alpha_free_trt",0.957005998656658,0.957149437650929,0.00566201724466539,0.946344002537595,0.96633749483127,200
"20trials_clustered_vs_scattered",20,"clustered_vs_scattered","alpha_recovery",0.99496023169448,0.995082136432931,0.000767114413097965,0.993478814020045,0.996281710948023,200
"20trials_clustered_vs_scattered",20,"clustered_vs_scattered","slope",0.141803413101671,0.144350962842443,0.0249566347443289,0.0957167409485993,0.18381160202641,200
"20trials_clustered_vs_scattered",20,"clustered_vs_scattered","delta_first_last",-0.0645056015541234,-0.0630374812316662,0.0226345688992357,-0.109023643205531,-0.0209029332410026,200
"20trials_clustered_vs_scattered",20,"clustered_vs_scattered","last_trial",-0.0708551951324276,-0.06878228120307,0.0166864863232686,-0.109211726005948,-0.0427572589832779,200
"40trials_random_sequences",40,"random_sequences","alpha_test_retest",0.988696300479526,0.988706859501943,0.00156578220629351,0.985484885956585,0.991451924807102,200
"40trials_random_sequences",40,"random_sequences","alpha_free_trt",0.982027969318256,0.982127075215453,0.00220658649733906,0.97778254093211,0.986001526707811,200
"40trials_random_sequences",40,"random_sequences","alpha_recovery",0.997235627525677,0.997252688154619,0.000391454778920671,0.996547718801718,0.99798209006748,200
"40trials_random_sequences",40,"random_sequences","slope",0.432353543651368,0.433214490862303,0.0509876632600335,0.33492727330441,0.535415122665847,200
"40trials_random_sequences",40,"random_sequences","delta_first_last",0.0190679006362999,0.0214183152366696,0.0878209749737269,-0.147823279881767,0.174506204647445,200
"40trials_random_sequences",40,"random_sequences","last_trial",0.0197878704210157,0.026251344249069,0.0895377618978458,-0.147403796920977,0.196290905060321,200
"40trials_early_vs_late",40,"early_vs_late","alpha_test_retest",0.953971539887601,0.954805463109721,0.00690056374463514,0.937138478931572,0.965212370114399,200
"40trials_early_vs_late",40,"early_vs_late","alpha_free_trt",0.934964792813835,0.935382682428061,0.00891076882977012,0.91776846399006,0.952446639676403,200
"40trials_early_vs_late",40,"early_vs_late","alpha_recovery",0.993621271580428,0.993675592386046,0.000954238106597391,0.99175596867721,0.995256785606674,200
"40trials_early_vs_late",40,"early_vs_late","slope",0.0163447678023779,0.0162439534268679,0.00384875154259379,0.00846426363132549,0.0230397867989528,200
"40trials_early_vs_late",40,"early_vs_late","delta_first_last",-0.0200382578696778,-0.0201614414519489,0.00876927598754723,-0.0370510108720817,-0.00328256737878799,200
"40trials_early_vs_late",40,"early_vs_late","last_trial",-0.0199085947138587,-0.0193950594397558,0.00662648868274786,-0.033937179157601,-0.00837936114610411,200
"40trials_clustered_vs_scattered",40,"clustered_vs_scattered","alpha_test_retest",0.98597397603559,0.986207085584474,0.00215043903772329,0.981603144066028,0.989780204229795,200
"40trials_clustered_vs_scattered",40,"clustered_vs_scattered","alpha_free_trt",0.977738237813211,0.977804727129773,0.00295431485581372,0.972354921979274,0.983326592534518,200
"40trials_clustered_vs_scattered",40,"clustered_vs_scattered","alpha_recovery",0.996847625197064,0.996903719086743,0.000435541096234187,0.995892479412888,0.997597575198071,200
"40trials_clustered_vs_scattered",40,"clustered_vs_scattered","slope",0.115973599224651,0.116130602561159,0.0140921864413449,0.0831116220593484,0.140854253124563,200
"40trials_clustered_vs_scattered",40,"clustered_vs_scattered","delta_first_last",-0.0258193558055203,-0.0265906100813297,0.00964171657046083,-0.0439613758332012,-0.0081401007877639,200
"40trials_clustered_vs_scattered",40,"clustered_vs_scattered","last_trial",-0.0260062123501458,-0.0257157389736012,0.00799683921109117,-0.0416146849704072,-0.0103463058657318,200
